hipparcos_id,ra_deg,dec_deg,mag,hp_mag
7666,24.67352558,52.5188313,9.64,9.7513
7667,24.67764708,-44.59432961,8.12,8.233
7668,24.67848794,46.34645946,7.47,7.607
7669,24.6868084,-5.73525598,7.35,7.4541
7670,24.69424429,63.71664728,8.71,8.8567
7671,24.69473082,38.65195451,7.72,7.8893
7672,24.70028457,40.76078924,8.47,8.5585
7673,24.7023228,-53.43878504,7.11,7.1851
7674,24.70699805,-53.43950233,8.64,8.8655
7675,24.70608279,-40.48655942,9.2,9.2685
7676,24.70830291,-25.0222139,6.69,6.6693
7677,24.70809782,26.64423754,9.29,9.3896
7678,24.71032189,64.51941277,8.57,8.7412
7679,24.71544936,-21.2754746,5.58,5.6627
7680,24.71585883,31.64949687,7.49,7.6597
7681,24.73179978,58.15630138,10.67,10.6876
7682,24.73360329,-58.58024561,8.41,8.5008
7683,24.7341562,17.22673335,8.61,8.7206
7684,24.73607696,76.72363746,8.2,8.2788
7685,24.73592699,21.91860608,7.89,7.9642
